ID,Category
0000.jpg,soccer_field
0001.jpg,forest_road
0002.jpg,forest_road
0003.jpg,harbor
0004.jpg,tower
0005.jpg,forest_road
0006.jpg,forest_road
0007.jpg,shoe_shop
0008.jpg,forest_road
0009.jpg,aquatic_theater
0010.jpg,forest_road
0011.jpg,ranch
0012.jpg,fire_station
0013.jpg,forest_road
0014.jpg,windmill
0015.jpg,swamp
0016.jpg,forest_road
0017.jpg,forest_road
0018.jpg,raceway
0019.jpg,reception
0020.jpg,glacier
0021.jpg,elevator_lobby
0022.jpg,gorge
0023.jpg,butchers_shop
0024.jpg,forest_road
0025.jpg,forest_road
0026.jpg,airplane_cabin
0027.jpg,piano_store
0028.jpg,forest_road
0029.jpg,food_court
0030.jpg,bus_interior
0031.jpg,science_museum
0032.jpg,airplane_cabin
0033.jpg,forest_road
0034.jpg,dining_car
0035.jpg,forest_road
0036.jpg,office
0037.jpg,orchard
0038.jpg,closet
0039.jpg,airplane_cabin
0040.jpg,bamboo_forest
0041.jpg,dorm_room
0042.jpg,town_house
0043.jpg,airplane_cabin
0044.jpg,yard
0045.jpg,town_house
0046.jpg,yard
0047.jpg,airplane_cabin
0048.jpg,hallway
0049.jpg,parlor
0050.jpg,armory
0051.jpg,airplane_cabin
0052.jpg,physics_laboratory
0053.jpg,fort
0054.jpg,forest_road
0055.jpg,rainforest
0056.jpg,airplane_cabin
0057.jpg,windmill
0058.jpg,sawmill
0059.jpg,tea_garden
0060.jpg,videostore
0061.jpg,raceway
0062.jpg,manhole
0063.jpg,rainforest
0064.jpg,hallway
0065.jpg,forest_road
0066.jpg,dorm_room
0067.jpg,forest_road
0068.jpg,chemistry_lab
0069.jpg,boat_deck
0070.jpg,gas_station
0071.jpg,airplane_cabin
0072.jpg,airplane_cabin
0073.jpg,ocean
0074.jpg,art_school
0075.jpg,art_school
0076.jpg,forest_road
0077.jpg,farm
0078.jpg,bookstore
0079.jpg,gas_station
0080.jpg,cheese_factory
0081.jpg,computer_room
0082.jpg,forest_road
0083.jpg,soccer_field
0084.jpg,shopfront
0085.jpg,yard
0086.jpg,newsroom
0087.jpg,television_studio
0088.jpg,sandbar
0089.jpg,forest_road
0090.jpg,street
0091.jpg,lawn
0092.jpg,cheese_factory
0093.jpg,hill
0094.jpg,office
0095.jpg,repair_shop
0096.jpg,water_mill
0097.jpg,airplane_cabin
0098.jpg,golf_course
0099.jpg,newsroom
0100.jpg,voting_booth
0101.jpg,aquatic_theater
0102.jpg,football_field
0103.jpg,banquet_hall
0104.jpg,forest_road
0105.jpg,bayou
0106.jpg,creek
0107.jpg,airfield
0108.jpg,cliff
0109.jpg,airplane_cabin
0110.jpg,beach
0111.jpg,pet_shop
0112.jpg,art_studio
0113.jpg,junk_pile
0114.jpg,butchers_shop
0115.jpg,office
0116.jpg,kindergarden_classroom
0117.jpg,sawmill
0118.jpg,valley
0119.jpg,amusement_park
0120.jpg,airplane_cabin
0121.jpg,airfield
0122.jpg,harbor
0123.jpg,forest_road
0124.jpg,bayou
0125.jpg,shoe_shop
0126.jpg,tea_garden
0127.jpg,park
0128.jpg,town_house
0129.jpg,forest_road
0130.jpg,forest_road
0131.jpg,winery
0132.jpg,forest_road
0133.jpg,cemetery
0134.jpg,dam
0135.jpg,forest_road
0136.jpg,forest_road
0137.jpg,forest_road
0138.jpg,ballroom
0139.jpg,airplane_cabin
0140.jpg,pond
0141.jpg,courtyard
0142.jpg,aquarium
0143.jpg,yard
0144.jpg,snowfield
0145.jpg,badlands
0146.jpg,orchard
0147.jpg,lawn
0148.jpg,airplane_cabin
0149.jpg,forest_road
0150.jpg,forest_road
0151.jpg,airplane_cabin
0152.jpg,phone_booth
0153.jpg,street
0154.jpg,building_facade
0155.jpg,highway
0156.jpg,airplane_cabin
0157.jpg,sandbar
0158.jpg,parlor
0159.jpg,cottage_garden
0160.jpg,armory
0161.jpg,mansion
0162.jpg,city
0163.jpg,airplane_cabin
0164.jpg,gasworks
0165.jpg,art_school
0166.jpg,airplane_cabin
0167.jpg,banquet_hall
0168.jpg,forest_road
0169.jpg,reading_room
0170.jpg,gorge
0171.jpg,forest_road
0172.jpg,airplane_cabin
0173.jpg,volcano
0174.jpg,courtroom
0175.jpg,science_museum
0176.jpg,picnic_area
0177.jpg,dentists_office
0178.jpg,forest_road
0179.jpg,sawmill
0180.jpg,sandbar
0181.jpg,naval_base
0182.jpg,airplane_cabin
0183.jpg,palace
0184.jpg,recreation_room
0185.jpg,forest_road
0186.jpg,forest_road
0187.jpg,science_museum
0188.jpg,yard
0189.jpg,village
0190.jpg,attic
0191.jpg,airplane_cabin
0192.jpg,cottage_garden
0193.jpg,dorm_room
0194.jpg,forest_road
0195.jpg,airplane_cabin
0196.jpg,butchers_shop
0197.jpg,airplane_cabin
0198.jpg,railway_yard
0199.jpg,tea_garden
0200.jpg,forest_road
