ID,Category
0000.jpg,lawn
0001.jpg,rubble
0002.jpg,forest_road
0003.jpg,harbor
0004.jpg,tower
0005.jpg,forest_road
0006.jpg,television_studio
0007.jpg,shoe_shop
0008.jpg,water_mill
0009.jpg,aquatic_theater
0010.jpg,cliff
0011.jpg,tea_garden
0012.jpg,building_facade
0013.jpg,roof
0014.jpg,windmill
0015.jpg,swamp
0016.jpg,forest_road
0017.jpg,junk_pile
0018.jpg,raceway
0019.jpg,living_room
0020.jpg,glacier
0021.jpg,closet
0022.jpg,gorge
0023.jpg,teashop
0024.jpg,forest_road
0025.jpg,science_museum
0026.jpg,butchers_shop
0027.jpg,piano_store
0028.jpg,forest_road
0029.jpg,submarine_interior
0030.jpg,bus_interior
0031.jpg,science_museum
0032.jpg,sawmill
0033.jpg,forest_road
0034.jpg,dining_car
0035.jpg,manhole
0036.jpg,office
0037.jpg,cottage_garden
0038.jpg,closet
0039.jpg,voting_booth
0040.jpg,bamboo_forest
0041.jpg,dorm_room
0042.jpg,town_house
0043.jpg,amusement_park
0044.jpg,yard
0045.jpg,town_house
0046.jpg,yard
0047.jpg,airplane_cabin
0048.jpg,hallway
0049.jpg,parlor
0050.jpg,shoe_shop
0051.jpg,voting_booth
0052.jpg,physics_laboratory
0053.jpg,fort
0054.jpg,rock_arch
0055.jpg,rainforest
0056.jpg,airplane_cabin
0057.jpg,windmill
0058.jpg,sawmill
0059.jpg,tea_garden
0060.jpg,pet_shop
0061.jpg,raceway
0062.jpg,manhole
0063.jpg,rainforest
0064.jpg,hallway
0065.jpg,attic
0066.jpg,canteen
0067.jpg,windmill
0068.jpg,chemistry_lab
0069.jpg,boat_deck
0070.jpg,bayou
0071.jpg,canteen
0072.jpg,campsite
0073.jpg,ocean
0074.jpg,newsroom
0075.jpg,art_school
0076.jpg,voting_booth
0077.jpg,cemetery
0078.jpg,bookstore
0079.jpg,assembly_line
0080.jpg,butchers_shop
0081.jpg,computer_room
0082.jpg,canyon
0083.jpg,soccer_field
0084.jpg,shopfront
0085.jpg,tea_garden
0086.jpg,newsroom
0087.jpg,physics_laboratory
0088.jpg,sandbar
0089.jpg,aquatic_theater
0090.jpg,street
0091.jpg,golf_course
0092.jpg,reading_room
0093.jpg,hill
0094.jpg,classroom
0095.jpg,food_court
0096.jpg,water_mill
0097.jpg,fence
0098.jpg,baseball_field
0099.jpg,classroom
0100.jpg,basement
0101.jpg,aquatic_theater
0102.jpg,football_field
0103.jpg,banquet_hall
0104.jpg,fishpond
0105.jpg,bayou
0106.jpg,creek
0107.jpg,airfield
0108.jpg,cliff
0109.jpg,bus_interior
0110.jpg,beach
0111.jpg,pet_shop
0112.jpg,art_studio
0113.jpg,sawmill
0114.jpg,butchers_shop
0115.jpg,office
0116.jpg,kindergarden_classroom
0117.jpg,sawmill
0118.jpg,hill
0119.jpg,amusement_park
0120.jpg,watering_hole
0121.jpg,roof
0122.jpg,naval_base
0123.jpg,forest_road
0124.jpg,bayou
0125.jpg,shoe_shop
0126.jpg,swamp
0127.jpg,park
0128.jpg,town_house
0129.jpg,bus_interior
0130.jpg,forest_road
0131.jpg,armory
0132.jpg,fishpond
0133.jpg,cemetery
0134.jpg,dam
0135.jpg,art_studio
0136.jpg,roof
0137.jpg,forest_road
0138.jpg,dining_car
0139.jpg,airplane_cabin
0140.jpg,golf_course
0141.jpg,courtyard
0142.jpg,aquarium
0143.jpg,cottage_garden
0144.jpg,snowfield
0145.jpg,canyon
0146.jpg,orchard
0147.jpg,lawn
0148.jpg,airplane_cabin
0149.jpg,sea_cliff
0150.jpg,gorge
0151.jpg,ranch
0152.jpg,phone_booth
0153.jpg,parking_lot
0154.jpg,building_facade
0155.jpg,highway
0156.jpg,airplane_cabin
0157.jpg,sandbar
0158.jpg,coffee_shop
0159.jpg,cottage_garden
0160.jpg,voting_booth
0161.jpg,mansion
0162.jpg,town_house
0163.jpg,airplane_cabin
0164.jpg,gasworks
0165.jpg,dorm_room
0166.jpg,office_building
0167.jpg,classroom
0168.jpg,television_studio
0169.jpg,reading_room
0170.jpg,gorge
0171.jpg,forest_road
0172.jpg,freeway
0173.jpg,volcano
0174.jpg,courtroom
0175.jpg,teashop
0176.jpg,picnic_area
0177.jpg,dentists_office
0178.jpg,bowling_alley
0179.jpg,dorm_room
0180.jpg,sandbar
0181.jpg,naval_base
0182.jpg,bowling_alley
0183.jpg,freeway
0184.jpg,recreation_room
0185.jpg,forest_road
0186.jpg,sawmill
0187.jpg,science_museum
0188.jpg,yard
0189.jpg,pond
0190.jpg,art_gallery
0191.jpg,amusement_park
0192.jpg,cottage_garden
0193.jpg,dorm_room
0194.jpg,cheese_factory
0195.jpg,repair_shop
0196.jpg,butchers_shop
0197.jpg,ranch
0198.jpg,railway_yard
0199.jpg,campsite
0200.jpg,sandbar
0201.jpg,kindergarden_classroom
0202.jpg,sky
0203.jpg,dentists_office
0204.jpg,airplane_cabin
0205.jpg,pagoda
0206.jpg,art_studio
0207.jpg,piano_store
0208.jpg,aquarium
0209.jpg,junk_pile
0210.jpg,dentists_office
0211.jpg,canteen
0212.jpg,forest_road
0213.jpg,coffee_shop
0214.jpg,football_field
0215.jpg,boat_deck
0216.jpg,castle
0217.jpg,forest_road
0218.jpg,crosswalk
0219.jpg,ocean
0220.jpg,castle
0221.jpg,shopfront
0222.jpg,junk_pile
0223.jpg,valley
0224.jpg,amphitheater
0225.jpg,airplane_cabin
0226.jpg,living_room
0227.jpg,television_studio
0228.jpg,bedroom
0229.jpg,railway_yard
0230.jpg,seawall
0231.jpg,baseball_field
0232.jpg,pharmacy
0233.jpg,dining_hall
0234.jpg,shopfront
0235.jpg,woodland
0236.jpg,chapel
0237.jpg,snowfield
0238.jpg,soccer_field
0239.jpg,airfield
0240.jpg,bayou
0241.jpg,resort
0242.jpg,yard
0243.jpg,aquatic_theater
0244.jpg,living_room
0245.jpg,science_museum
0246.jpg,cemetery
0247.jpg,kindergarden_classroom
0248.jpg,lab_classroom
0249.jpg,ski_resort
0250.jpg,phone_booth
0251.jpg,reception
0252.jpg,trailer_park
0253.jpg,canteen
0254.jpg,city
0255.jpg,pavilion
0256.jpg,aquarium
0257.jpg,closet
0258.jpg,forest_road
0259.jpg,sawmill
0260.jpg,golf_course
0261.jpg,roof
0262.jpg,barn
0263.jpg,rubble
0264.jpg,downtown
0265.jpg,pagoda
0266.jpg,boat_deck
0267.jpg,gas_station
0268.jpg,art_school
0269.jpg,watering_hole
0270.jpg,aquatic_theater
0271.jpg,badlands
0272.jpg,tea_garden
0273.jpg,forest_road
0274.jpg,amusement_arcade
0275.jpg,cliff
0276.jpg,fishpond
0277.jpg,banquet_hall
0278.jpg,glacier
0279.jpg,aquatic_theater
0280.jpg,art_gallery
0281.jpg,amusement_arcade
0282.jpg,sky
0283.jpg,tea_garden
0284.jpg,gas_station
0285.jpg,football_field
0286.jpg,pagoda
0287.jpg,shoe_shop
0288.jpg,gasworks
0289.jpg,staircase
0290.jpg,archive
0291.jpg,gas_station
0292.jpg,raceway
0293.jpg,dining_hall
0294.jpg,dorm_room
0295.jpg,chapel
0296.jpg,golf_course
0297.jpg,bowling_alley
0298.jpg,conference_room
0299.jpg,nightclub
0300.jpg,forest_road
0301.jpg,tea_garden
0302.jpg,badlands
0303.jpg,utility_room
0304.jpg,town_house
0305.jpg,ski_slope
0306.jpg,canteen
0307.jpg,volcano
0308.jpg,dining_hall
0309.jpg,coffee_shop
0310.jpg,manhole
0311.jpg,tower
0312.jpg,cheese_factory
0313.jpg,nightclub
0314.jpg,yard
0315.jpg,pet_shop
0316.jpg,cheese_factory
0317.jpg,playground
0318.jpg,airfield
0319.jpg,airplane_cabin
0320.jpg,cottage
0321.jpg,forest_road
0322.jpg,rainforest
0323.jpg,dorm_room
0324.jpg,desert_road
0325.jpg,banquet_hall
0326.jpg,football_field
0327.jpg,dentists_office
0328.jpg,rainforest
0329.jpg,playground
0330.jpg,gas_station
0331.jpg,pasture
0332.jpg,river
0333.jpg,bar
0334.jpg,art_gallery
0335.jpg,music_studio
0336.jpg,bar
0337.jpg,bar
0338.jpg,banquet_hall
0339.jpg,ski_slope
0340.jpg,physics_laboratory
0341.jpg,amusement_park
0342.jpg,submarine_interior
0343.jpg,hill
0344.jpg,pond
0345.jpg,orchard
0346.jpg,fishpond
0347.jpg,basement
0348.jpg,town_house
0349.jpg,fence
0350.jpg,yard
0351.jpg,town_house
0352.jpg,palace
0353.jpg,fishpond
0354.jpg,campsite
0355.jpg,living_room
0356.jpg,canteen
0357.jpg,ski_slope
0358.jpg,parking_lot
0359.jpg,town_house
0360.jpg,village
0361.jpg,forest_road
0362.jpg,courtyard
0363.jpg,fishpond
0364.jpg,soccer_field
0365.jpg,voting_booth
0366.jpg,forest_road
0367.jpg,sawmill
0368.jpg,submarine_interior
0369.jpg,bayou
0370.jpg,tea_garden
0371.jpg,reading_room
0372.jpg,fountain
0373.jpg,coffee_shop
0374.jpg,flood
0375.jpg,forest_road
0376.jpg,canteen
0377.jpg,roof
0378.jpg,gift_shop
0379.jpg,oasis
0380.jpg,football_field
0381.jpg,hallway
0382.jpg,manhole
0383.jpg,playground
0384.jpg,raceway
0385.jpg,gas_station
0386.jpg,hallway
0387.jpg,forest_road
0388.jpg,kindergarden_classroom
0389.jpg,shoe_shop
0390.jpg,airfield
0391.jpg,coffee_shop
0392.jpg,boat_deck
0393.jpg,submarine_interior
0394.jpg,newsroom
0395.jpg,drugstore
0396.jpg,skyscraper
0397.jpg,forest_road
0398.jpg,shower
0399.jpg,physics_laboratory
0400.jpg,naval_base
0401.jpg,fishpond
0402.jpg,bowling_alley
0403.jpg,clothing_store
0404.jpg,art_gallery
0405.jpg,lawn
0406.jpg,art_school
0407.jpg,dorm_room
0408.jpg,archive
0409.jpg,science_museum
0410.jpg,barn
0411.jpg,cafeteria
0412.jpg,islet
0413.jpg,windmill
0414.jpg,piano_store
0415.jpg,pond
0416.jpg,amusement_park
0417.jpg,gas_station
0418.jpg,voting_booth
0419.jpg,flood
0420.jpg,phone_booth
0421.jpg,hayfield
0422.jpg,television_studio
0423.jpg,airplane_cabin
0424.jpg,amphitheater
0425.jpg,computer_room
0426.jpg,ranch
0427.jpg,gas_station
0428.jpg,classroom
0429.jpg,assembly_line
0430.jpg,fountain
0431.jpg,yard
0432.jpg,fishpond
0433.jpg,ski_slope
0434.jpg,ski_slope
0435.jpg,dorm_room
0436.jpg,sawmill
0437.jpg,amusement_park
0438.jpg,art_studio
0439.jpg,galley
0440.jpg,nightclub
0441.jpg,shoe_shop
0442.jpg,ranch
0443.jpg,trailer_park
0444.jpg,voting_booth
0445.jpg,recreation_room
0446.jpg,coffee_shop
0447.jpg,office_building
0448.jpg,crosswalk
0449.jpg,art_school
0450.jpg,newsroom
0451.jpg,bicycle_racks
0452.jpg,television_studio
0453.jpg,beach
0454.jpg,river
0455.jpg,archive
0456.jpg,building_facade
0457.jpg,repair_shop
0458.jpg,bathroom
0459.jpg,art_school
0460.jpg,islet
0461.jpg,dining_hall
0462.jpg,fire_station
0463.jpg,nightclub
0464.jpg,videostore
0465.jpg,art_studio
0466.jpg,archive
0467.jpg,fishpond
0468.jpg,armory
0469.jpg,lecture_room
0470.jpg,food_court
0471.jpg,river
0472.jpg,mountain_road
0473.jpg,forest_road
0474.jpg,dining_hall
0475.jpg,rock_arch
0476.jpg,bayou
0477.jpg,mine
0478.jpg,dining_car
0479.jpg,sandbar
0480.jpg,cafeteria
0481.jpg,rubble
0482.jpg,airplane_cabin
0483.jpg,raceway
0484.jpg,picnic_area
0485.jpg,city
0486.jpg,dam
0487.jpg,art_studio
0488.jpg,park
0489.jpg,bayou
0490.jpg,raceway
0491.jpg,mansion
0492.jpg,palace
0493.jpg,cliff
0494.jpg,clothing_store
0495.jpg,pasture
0496.jpg,ocean
0497.jpg,amphitheater
0498.jpg,pasture
0499.jpg,archive
0500.jpg,gas_station
0501.jpg,physics_laboratory
0502.jpg,river
0503.jpg,dorm_room
0504.jpg,baseball_field
0505.jpg,amusement_park
0506.jpg,building_facade
0507.jpg,schoolhouse
0508.jpg,fence
0509.jpg,orchard
